-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     188.253us         0.00%     188.253us       1.961us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     170.913us         0.00%     170.913us       1.612us           106  
                                             aten::sqrt         0.00%     951.452us         0.00%       1.415ms      17.693us     168.674us         0.00%     168.674us       2.108us            80  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     168.674us         0.00%     168.674us       2.108us            80  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     159.333us         0.00%     159.333us       1.643us            97  
                                            aten::zeros         0.00%     552.252us         0.00%       2.476ms      30.952us       0.000us         0.00%     159.298us       1.991us            80  
                                            aten::zero_         0.00%     386.882us         0.00%       1.538ms      19.226us       0.000us         0.00%     159.298us       1.991us            80  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     159.298us         0.00%     159.298us       1.991us            80  
void scal_kernel_val<float, float>(cublasScalParamsV...         0.00%       0.000us         0.00%       0.000us       0.000us     158.658us         0.00%     158.658us       1.983us            80  
                                               aten::ge         0.00%     856.104us         0.00%       1.382ms      14.394us     157.381us         0.00%     157.381us       1.639us            96  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us     152.703us         0.00%     152.703us       1.678us            91  
void pegasus_sortsign_by_key_merge_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us     149.889us         0.00%     149.889us       1.874us            80  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     145.058us         0.00%     145.058us       1.511us            96  
                                      aten::bitwise_not         0.00%     716.585us         0.00%       1.095ms      11.402us     130.654us         0.00%     130.654us       1.361us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     130.654us         0.00%     130.654us       1.361us            96  
                                             aten::rsub         0.00%     399.606us         0.00%       1.486ms      15.479us       0.000us         0.00%     126.884us       1.322us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     126.884us         0.00%     126.884us       1.322us            96  
                void pegasus_set_identy<128>(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us     122.686us         0.00%     122.686us       1.534us            80  
void at_cuda_detail::cub::DeviceScanInitKernel<at_cu...         0.00%       0.000us         0.00%       0.000us       0.000us     112.804us         0.00%     112.804us       1.117us           101  
                                               aten::lt         0.00%      48.251us         0.00%      67.669us      13.534us       8.193us         0.00%       8.193us       1.639us             5  
                                        aten::ones_like         0.00%      10.602us         0.00%      62.618us      12.524us       0.000us         0.00%       8.096us       1.619us             5  
                                             aten::ones         0.00%      17.680us         0.00%      73.531us      14.706us       0.000us         0.00%       5.472us       1.094us             5  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.392us         0.00%       3.392us       1.696us             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.392us         0.00%       3.392us       1.696us             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.137us         0.00%       3.137us       1.569us             2  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.104us         0.00%       3.104us       1.552us             2  
                                    aten::empty_strided         0.01%      53.264ms         0.02%     128.494ms       7.887us       0.000us         0.00%       0.000us       0.000us         16291  
                                        cudaMemcpyAsync        68.87%      373.088s        68.87%      373.088s     132.254ms       0.000us         0.00%       0.000us       0.000us          2821  
                                  cudaStreamSynchronize         2.75%       14.913s         2.75%       14.913s       7.578ms       0.000us         0.00%       0.000us       0.000us          1968  
                                            aten::empty         0.01%      65.935ms         0.02%     132.129ms       5.180us       0.000us         0.00%       0.000us       0.000us         25508  
                                       aten::lift_fresh         0.00%       3.265us         0.00%       3.265us       0.218us       0.000us         0.00%       0.000us       0.000us            15  
                                          aten::detach_         0.00%      16.340us         0.00%      34.275us       2.285us       0.000us         0.00%       0.000us       0.000us            15  
                                                detach_         0.00%      17.935us         0.00%      17.935us       1.196us       0.000us         0.00%       0.000us       0.000us            15  
                                        aten::unsqueeze         0.01%      31.364ms         0.01%      38.803ms       2.000us       0.000us         0.00%       0.000us       0.000us         19397  
                                       aten::as_strided         0.01%      49.670ms         0.01%      49.670ms       0.396us       0.000us         0.00%       0.000us       0.000us        125475  
