-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      24.508ms         0.00%      24.508ms      31.911us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.887ms         0.00%      23.887ms       6.138us          3892  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      21.001ms         0.00%      21.001ms       6.836us          3072  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      19.172ms         0.00%      19.172ms       1.330us         14420  
                                              aten::all         0.00%      26.722ms         0.00%      36.859ms      18.941us      18.698ms         0.00%      18.707ms       9.613us          1946  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      18.698ms         0.00%      18.698ms       9.609us          1946  
                                          aten::normal_         0.00%      20.256ms         0.05%        1.621s       1.055ms      16.212ms         0.00%      16.243ms      10.575us          1536  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      16.212ms         0.00%      16.212ms      10.555us          1536  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us      14.944ms         0.00%      14.944ms       1.538us          9716  
                                  cudaDeviceSynchronize         0.29%        8.752s         0.29%        8.752s       5.694ms      14.496ms         0.00%      14.496ms       9.431us          1537  
                                               aten::eq         0.00%      75.220ms         0.00%     114.463ms      14.526us      13.692ms         0.00%      13.702ms       1.739us          7880  
                                              aten::sin         0.00%      15.045ms         0.00%      23.840ms      12.251us      12.944ms         0.00%      13.244ms       6.806us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.944ms         0.00%      12.944ms       6.652us          1946  
                                              aten::cos         0.00%      16.324ms         0.00%      26.073ms      13.398us      12.917ms         0.00%      13.217ms       6.792us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.917ms         0.00%      12.917ms       6.638us          1946  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      12.252ms         0.00%      12.252ms       3.148us          3892  
                                           aten::cumsum         0.00%      45.658ms         0.01%     240.511ms     117.782us      11.118ms         0.00%      11.165ms       5.468us          2042  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      10.961ms         0.00%      10.961ms       2.854us          3840  
void pegasus_sortI32_by_oneCTA<512, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us      10.748ms         0.00%      10.748ms      13.995us           768  
                              aten::_local_scalar_dense         0.00%      46.757ms         9.03%      276.125s      36.496ms      10.606ms         0.00%      10.606ms       1.402us          7566  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      10.606ms         0.00%      10.606ms       1.402us          7566  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      10.080ms         0.00%      10.080ms     105.004us            96  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us      10.016ms         0.00%      10.016ms       3.260us          3072  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.572ms         0.00%       9.572ms       1.640us          5838  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us       8.752ms         0.00%       8.752ms       4.286us          2042  
void pegasus_sortI32_by_oneCTA<256, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       8.486ms         0.00%       8.486ms      11.049us           768  
                                            stage:setup         0.00%       0.000us         0.00%       0.000us       0.000us       8.021ms         0.00%       8.021ms       5.222us          1536  
                                              aten::any         0.00%      54.676ms         0.00%     132.826ms      35.232us       6.811ms         0.00%      12.869ms       3.413us          3770  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.811ms         0.00%       6.811ms       3.049us          2234  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.602ms         0.00%       6.602ms       1.113us          5934  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.516ms         0.00%       6.516ms       1.655us          3937  
                                              aten::sub         0.00%      39.568ms         0.00%      63.741ms      15.983us       6.295ms         0.00%       6.301ms       1.580us          3988  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us       5.945ms         0.00%       5.945ms       3.870us          1536  
                                              aten::max         0.00%      23.393ms         0.00%      46.895ms      24.098us       5.807ms         0.00%       5.815ms       2.988us          1946  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.807ms         0.00%       5.807ms       2.984us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.799ms         0.00%       5.799ms       1.490us          3892  
                                            aten::index         0.00%      29.650ms         0.00%      55.600ms      30.054us       5.646ms         0.00%       5.654ms       3.056us          1850  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.646ms         0.00%       5.646ms       3.052us          1850  
                                       aten::bitwise_or         0.00%      31.208ms         0.00%      55.899ms      14.362us       5.363ms         0.00%       5.368ms       1.379us          3892  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.363ms         0.00%       5.363ms       1.378us          3892  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       5.080ms         0.00%       5.080ms       2.746us          1850  
                                      aten::bitwise_and         0.00%      16.625ms         0.00%      25.066ms      12.881us       4.337ms         0.00%       4.339ms       2.230us          1946  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.337ms         0.00%       4.337ms       2.229us          1946  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.336ms         0.00%       4.336ms       9.032us           480  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.247ms         0.00%       4.247ms       2.296us          1850  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.119ms         0.00%       4.119ms       2.017us          2042  
                                     aten::masked_fill_         0.00%      15.723ms         0.00%      75.039ms      38.561us       3.893ms         0.00%       3.899ms       2.003us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.893ms         0.00%       3.893ms       2.000us          1946  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us       3.868ms         0.00%       3.868ms       2.518us          1536  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       3.786ms         0.00%       3.786ms       2.465us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.608ms         0.00%       3.608ms       1.687us          2138  
                                             aten::sqrt         0.00%      23.490ms         0.00%      33.913ms      22.079us       3.496ms         0.00%       3.498ms       2.277us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.496ms         0.00%       3.496ms       2.276us          1536  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.366ms         0.00%       3.366ms       2.192us          1536  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.357ms         0.00%       3.357ms       2.185us          1536  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.281ms         0.00%       3.281ms       1.773us          1850  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.239ms         0.00%       3.239ms       1.627us          1991  
                                               aten::ge         0.00%      21.621ms         0.00%      33.511ms      17.220us       3.166ms         0.00%       3.170ms       1.629us          1946  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.125ms         0.00%       3.125ms       2.034us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.088ms         0.00%       3.088ms       2.010us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.037ms         0.00%       3.037ms       1.561us          1946  
void pegasusIinclusive_scan_domino_v1_core<256, 4>(i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.910ms         0.00%       2.910ms       1.895us          1536  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       2.777ms         0.00%       2.777ms       1.808us          1536  
                                      aten::bitwise_not         0.00%      16.650ms         0.00%      24.079ms      12.374us       2.735ms         0.00%       2.737ms       1.406us          1946  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.735ms         0.00%       2.735ms       1.405us          1946  
void svd_col_scale_kernel<float, 256>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       2.689ms         0.00%       2.689ms       1.750us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.660ms         0.00%       2.660ms       1.367us          1946  
void pegasusIinclusive_localscan_core<256, 4>(int, i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.564ms         0.00%       2.564ms       1.670us          1536  
void pegasus_sortsign_by_key_merge_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.435ms         0.00%       2.435ms       1.585us          1536  
void at_cuda_detail::cub::DeviceScanInitKernel<at_cu...         0.00%       0.000us         0.00%       0.000us       0.000us       2.366ms         0.00%       2.366ms       1.159us          2042  
void gesvdj_diagonal_kernel<float, float, 256>(long,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.198ms         0.00%       2.198ms       1.431us          1536  
void scal_kernel_val<float, float>(cublasScalParamsV...         0.00%       0.000us         0.00%       0.000us       0.000us       2.001ms         0.00%       2.001ms       1.302us          1536  
void pegasusIinclusive_scan_merge_core<256, 4>(int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.987ms         0.00%       1.987ms       1.293us          1536  
                void pegasus_set_identy<128>(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.692ms         0.00%       1.692ms       1.102us          1536  
                                               aten::lt         0.00%       1.254ms         0.00%       6.893ms      71.799us     156.322us         0.00%     161.026us       1.677us            96  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      48.764us         0.00%      48.764us       1.742us            28  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.332us         0.00%      46.332us       1.655us            28  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      39.458us         0.00%      39.458us       1.716us            23  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      37.152us         0.00%      37.152us       1.615us            23  
                                              eval_loop         3.33%      101.877s       100.00%     3057.766s     3057.766s       0.000us         0.00%     3540.484s     3540.484s             1  
                                               aten::to         0.01%     312.910ms         0.20%        6.152s      13.466us       0.000us         0.00%       37.503s      82.093us        456844  
                                         aten::_to_copy         0.03%     892.907ms         0.19%        5.839s      21.829us       0.000us         0.00%       37.503s     140.208us        267484  
                                    aten::empty_strided         0.04%        1.313s         0.09%        2.763s       8.376us       0.000us         0.00%       0.000us       0.000us        329852  
                                        cudaMemcpyAsync        79.80%     2439.974s        79.80%     2439.974s      67.627ms       0.000us         0.00%      12.698ms       0.352us         36080  
                                  cudaStreamSynchronize         9.03%      276.058s         9.03%      276.058s      12.288ms       0.000us         0.00%       0.000us       0.000us         22466  
                                            aten::empty         0.06%        1.817s         0.11%        3.319s       5.912us       0.000us         0.00%       0.000us       0.000us        561334  
