-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.589ms         0.00%       2.589ms       1.331us          1946  
void pegasusIinclusive_localscan_core<256, 4>(int, i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.494ms         0.00%       2.494ms       1.623us          1536  
void pegasus_sortsign_by_key_merge_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.370ms         0.00%       2.370ms       1.543us          1536  
void at_cuda_detail::cub::DeviceScanInitKernel<at_cu...         0.00%       0.000us         0.00%       0.000us       0.000us       2.310ms         0.00%       2.310ms       1.131us          2042  
void gesvdj_diagonal_kernel<float, float, 256>(long,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.141ms         0.00%       2.141ms       1.394us          1536  
void scal_kernel_val<float, float>(cublasScalParamsV...         0.00%       0.000us         0.00%       0.000us       0.000us       1.950ms         0.00%       1.950ms       1.270us          1536  
void pegasusIinclusive_scan_merge_core<256, 4>(int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.936ms         0.00%       1.936ms       1.261us          1536  
                void pegasus_set_identy<128>(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.651ms         0.00%       1.651ms       1.075us          1536  
                                               aten::lt         0.00%       1.374ms         0.00%       8.353ms      87.006us     152.902us         0.00%     157.606us       1.642us            96  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      49.213us         0.00%      49.213us       1.758us            28  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.274us         0.00%      46.274us       1.653us            28  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      39.167us         0.00%      39.167us       1.703us            23  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      34.974us         0.00%      34.974us       1.521us            23  
                                              eval_loop         3.53%      106.791s       100.00%     3021.450s     3021.450s       0.000us         0.00%     3795.735s     3795.735s             1  
                                               aten::to         0.01%     314.283ms         0.20%        6.153s      15.036us       0.000us         0.00%       37.473s      91.571us        409228  
                                         aten::_to_copy         0.03%     912.091ms         0.19%        5.839s      21.828us       0.000us         0.00%       37.473s     140.095us        267484  
                                    aten::empty_strided         0.04%        1.317s         0.09%        2.770s       8.398us       0.000us         0.00%       0.000us       0.000us        329852  
                                        cudaMemcpyAsync        79.03%     2387.849s        79.03%     2387.849s      66.182ms       0.000us         0.00%      13.540ms       0.375us         36080  
                                  cudaStreamSynchronize         8.89%      268.494s         8.89%      268.494s      11.951ms       0.000us         0.00%       1.311us       0.000us         22466  
                                            aten::empty         0.06%        1.816s         0.10%        3.065s       5.475us       0.000us         0.00%       0.000us       0.000us        559798  
                                       aten::lift_fresh         0.00%      96.867us         0.00%      96.867us       0.336us       0.000us         0.00%       0.000us       0.000us           288  
                                          aten::detach_         0.00%     528.480us         0.00%     783.018us       2.719us       0.000us         0.00%       0.000us       0.000us           288  
                                                detach_         0.00%     254.538us         0.00%     254.538us       0.884us       0.000us         0.00%       0.000us       0.000us           288  
                                             aten::isin         0.00%      37.973ms         0.01%     200.008ms      97.947us       0.000us         0.00%      15.267ms       7.476us          2042  
                                       cudaLaunchKernel         0.64%       19.415s         4.15%      125.362s      23.276us       0.000us         0.00%      834.117s     154.872us       5385842  
                                        aten::unsqueeze         0.03%     771.291ms         0.03%     954.409ms       2.431us       0.000us         0.00%       0.000us       0.000us        392674  
