-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::argmax         0.00%      23.609ms         0.00%      38.535ms      21.290us      58.666ms         0.00%      58.773ms      32.471us          1810  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      58.666ms         0.00%      58.666ms      32.412us          1810  
                                  cudaDeviceSynchronize         0.06%        1.864s         0.06%        1.864s       1.213ms      47.622ms         0.00%      47.622ms      30.984us          1537  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      44.205ms         0.00%      44.205ms       1.515us         29184  
void gemmSN_NN_kernel<float, 128, 2, 4, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      43.786ms         0.00%      43.786ms       5.701us          7680  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      37.112ms         0.00%      37.112ms       2.810us         13206  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      35.247ms         0.00%      35.247ms       5.099us          6912  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      31.782ms         0.00%      31.782ms       3.267us          9727  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      29.957ms         0.00%      29.957ms       5.572us          5376  
                                 svd_v5_fp32_house/call         0.00%       0.000us         0.00%       0.000us       0.000us      25.671ms         0.00%      25.671ms      16.713us          1536  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      25.373ms         0.00%      25.373ms      33.037us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.489ms         0.00%      23.489ms       6.489us          3620  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      22.000ms         0.00%      22.000ms       7.162us          3072  
void pegasus_sortI32_by_oneCTA<512, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us      21.013ms         0.00%      21.013ms      13.680us          1536  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      19.607ms         0.00%      19.607ms       1.359us         14431  
                                              aten::all         0.00%      21.454ms         0.00%      30.694ms      16.958us      17.233ms         0.00%      17.242ms       9.526us          1810  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      17.233ms         0.00%      17.233ms       9.521us          1810  
                                          aten::normal_         0.00%      18.053ms         0.05%        1.580s       1.029ms      15.914ms         0.00%      15.943ms      10.380us          1536  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      15.914ms         0.00%      15.914ms      10.361us          1536  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us      14.959ms         0.00%      14.959ms       1.538us          9727  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      14.685ms         0.00%      14.685ms       2.732us          5376  
                                               aten::eq         0.00%      58.843ms         0.00%      95.322ms      12.994us      12.700ms         0.00%      12.710ms       1.733us          7336  
                                              aten::sin         0.00%      13.873ms         0.00%      23.620ms      13.050us      12.681ms         0.00%      12.980ms       7.171us          1810  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.681ms         0.00%      12.681ms       7.006us          1810  
                                              aten::cos         0.00%      13.702ms         0.00%      22.843ms      12.621us      12.646ms         0.00%      12.944ms       7.151us          1810  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.646ms         0.00%      12.646ms       6.987us          1810  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      11.400ms         0.00%      11.400ms       3.149us          3620  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us      10.711ms         0.00%      10.711ms       3.487us          3072  
                                           aten::cumsum         0.00%      41.257ms         0.01%     182.994ms      96.010us      10.281ms         0.00%      10.339ms       5.424us          1906  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      10.054ms         0.00%      10.054ms     104.732us            96  
                              aten::_local_scalar_dense         0.00%      38.320ms         8.49%      256.095s      35.777ms       9.983ms         0.00%       9.985ms       1.395us          7158  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       9.983ms         0.00%       9.983ms       1.395us          7158  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.834ms         0.00%       8.834ms       1.627us          5430  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us       8.098ms         0.00%       8.098ms       4.249us          1906  
                                              aten::any         0.00%      46.988ms         0.00%     119.568ms      32.903us       6.327ms         0.00%      12.256ms       3.373us          3634  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.327ms         0.00%       6.327ms       3.016us          2098  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us       6.204ms         0.00%       6.204ms       4.039us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.092ms         0.00%       6.092ms       1.102us          5526  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.990ms         0.00%       5.990ms       1.634us          3665  
                                              aten::sub         0.00%      30.665ms         0.00%      56.491ms      15.202us       5.810ms         0.00%       5.817ms       1.565us          3716  
                                              aten::max         0.00%      18.712ms         0.00%      39.089ms      21.596us       5.366ms         0.00%       5.374ms       2.969us          1810  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.366ms         0.00%       5.366ms       2.965us          1810  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.310ms         0.00%       5.310ms       1.467us          3620  
                                            aten::index         0.00%      26.731ms         0.00%      48.428ms      28.255us       5.163ms         0.00%       5.171ms       3.017us          1714  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.163ms         0.00%       5.163ms       3.012us          1714  
                                       aten::bitwise_or         0.00%      25.487ms         0.00%      46.235ms      12.772us       4.937ms         0.00%       4.942ms       1.365us          3620  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.937ms         0.00%       4.937ms       1.364us          3620  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.692ms         0.00%       4.692ms       2.737us          1714  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.404ms         0.00%       4.404ms       9.176us           480  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       4.352ms         0.00%       4.352ms       2.833us          1536  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us       4.104ms         0.00%       4.104ms       2.672us          1536  
                                      aten::bitwise_and         0.00%      12.225ms         0.00%      19.850ms      10.967us       4.004ms         0.00%       4.006ms       2.213us          1810  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.004ms         0.00%       4.004ms       2.212us          1810  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.944ms         0.00%       3.944ms       2.301us          1714  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.866ms         0.00%       3.866ms       2.028us          1906  
                                     aten::masked_fill_         0.00%      15.491ms         0.00%      66.718ms      36.861us       3.588ms         0.00%       3.594ms       1.986us          1810  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.588ms         0.00%       3.588ms       1.982us          1810  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.360ms         0.00%       3.360ms       1.678us          2002  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.306ms         0.00%       3.306ms       2.152us          1536  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.259ms         0.00%       3.259ms       2.122us          1536  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.071ms         0.00%       3.071ms       1.999us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.058ms         0.00%       3.058ms       1.991us          1536  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       3.042ms         0.00%       3.042ms       1.981us          1536  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.012ms         0.00%       3.012ms       1.757us          1714  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.989ms         0.00%       2.989ms       1.611us          1855  
                                               aten::ge         0.00%      18.448ms         0.00%      29.045ms      16.047us       2.918ms         0.00%       2.921ms       1.614us          1810  
void pegasusIinclusive_scan_domino_v1_core<256, 4>(i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.873ms         0.00%       2.873ms       1.870us          1536  
                                             aten::sqrt         0.00%      17.797ms         0.00%      26.164ms      17.034us       2.843ms         0.00%       2.845ms       1.852us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.843ms         0.00%       2.843ms       1.851us          1536  
void svd_col_scale_kernel<float, 256>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       2.800ms         0.00%       2.800ms       1.823us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.768ms         0.00%       2.768ms       1.529us          1810  
void pegasusIinclusive_localscan_core<256, 4>(int, i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.535ms         0.00%       2.535ms       1.650us          1536  
                                      aten::bitwise_not         0.00%      13.032ms         0.00%      20.379ms      11.259us       2.519ms         0.00%       2.521ms       1.393us          1810  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.519ms         0.00%       2.519ms       1.392us          1810  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.450ms         0.00%       2.450ms       1.353us          1810  
void pegasus_sortsign_by_key_merge_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.418ms         0.00%       2.418ms       1.574us          1536  
void scal_kernel_val<float, float>(cublasScalParamsV...         0.00%       0.000us         0.00%       0.000us       0.000us       2.188ms         0.00%       2.188ms       1.425us          1536  
