-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::triu_         0.00%       7.038ms         0.00%      12.888ms       8.937us       6.168ms         0.00%       6.171ms       4.280us          1442  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us       6.168ms         0.00%       6.168ms       4.277us          1442  
void larft_T_64<float>(int, float*, int, float const...         0.00%       0.000us         0.00%       0.000us       0.000us       5.359ms         0.00%       5.359ms      16.747us           320  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us       5.182ms         0.00%       5.182ms       6.478us           800  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.039ms         0.00%       5.039ms       3.149us          1600  
                                              aten::all         0.00%      12.351ms         0.01%      33.242ms      20.295us       1.862ms         0.00%       4.055ms       2.476us          1638  
void transpose_readWrite_alignment_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us       3.798ms         0.00%       3.798ms       5.275us           720  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us       3.589ms         0.00%       3.589ms       3.550us          1011  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       3.480ms         0.00%       3.480ms       7.250us           480  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us       3.413ms         0.00%       3.413ms       5.333us           640  
                                               aten::eq         0.01%      19.089ms         0.01%      28.098ms      12.566us       3.380ms         0.00%       3.380ms       1.512us          2236  
                                             aten::item         0.00%       2.923ms        87.57%      248.985s     112.663ms       0.000us         0.00%       3.244ms       1.468us          2210  
                              aten::_local_scalar_dense         0.00%      10.487ms        87.57%      248.982s     112.661ms       3.244ms         0.00%       3.244ms       1.468us          2210  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.244ms         0.00%       3.244ms       1.468us          2210  
void setup_vhat_l_kernel<float, 16>(long, long, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.167ms         0.00%       3.167ms       5.656us           560  
                                       aten::is_nonzero         0.00%       2.462ms        87.57%      248.985s     121.456ms       0.000us         0.00%       2.974ms       1.451us          2050  
