-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       3.591ms         0.00%       3.591ms       2.338us          1536  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.505ms         0.00%       3.505ms       2.282us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.472ms         0.00%       3.472ms       1.710us          2031  
void pegasusIinclusive_scan_domino_v1_core<256, 4>(i...         0.00%       0.000us         0.00%       0.000us       0.000us       3.359ms         0.00%       3.359ms       2.187us          1536  
void svd_col_scale_kernel<float, 256>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       3.280ms         0.00%       3.280ms       2.135us          1536  
                                             aten::sqrt         0.00%      20.201ms         0.00%      29.651ms      19.304us       3.236ms         0.00%       3.238ms       2.108us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.236ms         0.00%       3.236ms       2.107us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.199ms         0.00%       3.199ms       2.082us          1536  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.129ms         0.00%       3.129ms       1.795us          1743  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.105ms         0.00%       3.105ms       1.648us          1884  
                                               aten::ge         0.00%      25.607ms         0.00%      38.163ms      20.752us       3.030ms         0.00%       3.033ms       1.649us          1839  
void pegasusIinclusive_localscan_core<256, 4>(int, i...         0.00%       0.000us         0.00%       0.000us       0.000us       2.963ms         0.00%       2.963ms       1.929us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.877ms         0.00%       2.877ms       1.873us          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.872ms         0.00%       2.872ms       1.562us          1839  
void pegasus_sortsign_by_key_merge_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.828ms         0.00%       2.828ms       1.841us          1536  
                                      aten::bitwise_not         0.00%      18.401ms         0.00%      25.967ms      14.120us       2.620ms         0.00%       2.622ms       1.426us          1839  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.620ms         0.00%       2.620ms       1.425us          1839  
